TOKENS         | LEXEMAS                | OCORRENCIAS (linha:coluna)
VIRG           | ,                      | 4:11
VIRG           | ,                      | 4:16
VIRG           | ,                      | 12:21
VIRG           | ,                      | 12:28
VIRG           | ,                      | 36:14
VIRG           | ,                      | 75:9
VIRG           | ,                      | 75:12
VIRG           | ,                      | 75:15
VIRG           | ,                      | 84:19
VIRG           | ,                      | 84:22
VIRG           | ,                      | 95:21
VIRG           | ,                      | 95:24
PRINT          | print                  | 67:6
PRINT          | print                  | 68:4
PRINT          | print                  | 77:4
PRINT          | print                  | 79:4
PRINT          | print                  | 81:4
PRINT          | print                  | 88:6
PRINT          | print                  | 90:6
PRINT          | print                  | 92:6
PRINT          | print                  | 97:13
NEW            | new                    | 50:13
NEW            | new                    | 56:14
NEW            | new                    | 84:8
NEW            | new                    | 85:8
NEW            | new                    | 95:10
MAIOR          | >                      | 21:14
MAIOR          | >                      | 25:14
MAIOR          | >                      | 29:14
MAIOR          | >                      | 53:10
MENOR          | <                      | 19:14
MENOR          | <                      | 23:14
MENOR          | <                      | 27:14
MENOR          | <                      | 47:10
MENOR          | <                      | 66:18
MENOR          | <                      | 87:18
IGUAL          | ==                     | 96:22
OPMAIS         | +                      | 65:31
OPMAIS         | +                      | 66:29
OPMAIS         | +                      | 68:18
OPMAIS         | +                      | 68:24
OPMAIS         | +                      | 68:34
OPMAIS         | +                      | 68:40
OPMAIS         | +                      | 68:50
OPMAIS         | +                      | 70:32
OPMAIS         | +                      | 87:30
CLASS          | class                  | 1:0
CLASS          | class                  | 3:2
INT            | int                    | 4:4
INT            | int                    | 12:16
INT            | int                    | 12:23
INT            | int                    | 12:30
INT            | int                    | 18:4
INT            | int                    | 44:2
INT            | int                    | 45:4
INT            | int                    | 62:2
INT            | int                    | 62:16
INT            | int                    | 63:4
INT            | int                    | 73:2
INT            | int                    | 75:4
FECHCHAVE      | }                      | 10:4
FECHCHAVE      | }                      | 16:4
FECHCHAVE      | }                      | 31:4
FECHCHAVE      | }                      | 33:2
FECHCHAVE      | }                      | 42:2
FECHCHAVE      | }                      | 52:4
FECHCHAVE      | }                      | 58:4
FECHCHAVE      | }                      | 60:2
FECHCHAVE      | }                      | 71:2
FECHCHAVE      | }                      | 98:4
FECHCHAVE      | }                      | 101:2
FECHCHAVE      | }                      | 102:0
RETURN         | return                 | 20:13
RETURN         | return                 | 22:13
RETURN         | return                 | 24:13
RETURN         | return                 | 26:13
RETURN         | return                 | 28:13
RETURN         | return                 | 30:13
RETURN         | return                 | 49:13
RETURN         | return                 | 51:6
RETURN         | return                 | 55:13
RETURN         | return                 | 57:6
RETURN         | return                 | 59:4
RETURN         | return                 | 100:4
STRINGCONSTANT | "Digite o mes: "       | 79:10
STRINGCONSTANT | "Digite o mes: "       | 90:12
STRINGCONSTANT | " "                    | 67:12
STRINGCONSTANT | "/"                    | 68:20
STRINGCONSTANT | "/"                    | 68:36
STRINGCONSTANT | "Digite o dia: "       | 77:10
STRINGCONSTANT | "Digite o dia: "       | 88:12
STRINGCONSTANT | "Digite o ano: "       | 81:10
STRINGCONSTANT | "Digite o ano: "       | 92:12
STRINGCONSTANT | "\n"                   | 68:52
STRINGCONSTANT | "Elemento já existe\n" | 97:19
FECHPAR        | )                      | 6:16
FECHPAR        | )                      | 12:35
FECHPAR        | )                      | 18:22
FECHPAR        | )                      | 19:21
FECHPAR        | )                      | 21:21
FECHPAR        | )                      | 23:21
FECHPAR        | )                      | 25:21
FECHPAR        | )                      | 27:21
FECHPAR        | )                      | 29:21
FECHPAR        | )                      | 38:20
FECHPAR        | )                      | 44:19
FECHPAR        | )                      | 46:21
FECHPAR        | )                      | 47:13
